k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,k=11,k=12,k=13,k=14,k=15,k=16,k=17,k=18,k=19,k=20,k=21,k=22,k=23,k=24,k=25,k=26,k=27,k=28,k=29
9.926265742,5.728456248,5.252632805,0.761110285,7.632621106,8.253419452,5.883803986,7.702648841,8.923153631,5.523688088,5.006076605,5.590264003,6.109227225,3.522035038,6.727568889,8.733492577,1.789606489,5.600297236,1.398537604,3.585851841,1.137158069,4.101875875,7.813483785,3.971002146,4.828968888,2.8040577,4.990294687,0.966246263,5.648732499
9.341365718,5.512411131,6.384745686,0.702414777,10.22637013,7.173459407,7.0714045,7.974769798,8.589695471,5.522477314,6.003275673,5.432627096,5.046401536,3.304776745,4.825252726,7.00532523,0.910234444,5.169204996,0.767664724,1.207002567,1.592095486,6.487985915,7.27890942,0.916713371,3.536713677,2.721218994,3.394272536,1.552617144,4.698405822
8.000920888,3.338678437,7.13478838,0.797109726,7.868684311,6.869706836,6.408455382,6.984590946,9.42035544,3.650161048,3.917749128,4.702478272,6.871151796,2.320182888,9.473593093,7.447240202,1.478466562,3.112998372,2.316817521,2.698194384,1.199911834,4.942776209,6.34728238,0.195304308,4.983359412,3.092561111,6.620061778,1.446690468,5.959277406
8.65272271,5.225311457,6.479346225,1.349385879,8.990374046,5.660228427,6.048520347,7.969748636,6.467461467,4.333190439,5.478428438,4.089725609,5.030867146,3.966187343,6.780215143,7.289478782,1.048362343,3.898946788,1.165801399,1.20116077,0.160622869,4.925601739,8.285785688,2.004441867,6.309419577,4.426631881,5.18443726,2.505171158,4.418598166
9.241163543,5.448730733,5.041718192,0.691916842,7.76093356,7.12614389,6.053656851,6.44931257,6.371650655,5.392533099,6.40360752,5.335339228,7.130966264,3.491577153,4.952773116,7.037434405,1.734601424,4.671303431,0,2.954608235,1.448414984,5.650390188,7.581346776,3.981992792,6.194328538,3.507957037,4.194045653,1.758981783,5.4919876
7.957723903,4.855749747,5.175410082,1.038165958,8.044473365,7.143747726,6.317666493,5.522922647,6.835953754,4.45215484,7.019015343,4.072869811,8.825540497,3.467949801,6.839471921,7.973974192,0,3.72309753,0,2.457286076,0.532269222,5.673694012,7.526424128,1.834387057,4.740547456,4.879502293,5.142020889,0,4.469343955
7.304820488,6.414131215,5.116453792,1.42029699,8.589162969,6.823289072,6.500932057,6.99415567,7.496130056,4.636956971,4.701014552,5.285367554,5.670083976,3.389375944,6.593047529,5.499567233,0.889156147,5.031653262,0.382003122,1.934664567,0,6.14541941,7.68369338,2.221762433,2.951761804,2.577885012,5.776986464,0.265577224,5.286407576
8.425177425,5.00086906,8.039833373,1.683045071,9.552360629,7.01944292,5.266097085,7.69896232,8.490222516,5.600105238,6.022508528,3.808949865,5.919245829,3.471923609,6.733516172,6.753905256,1.949380084,4.467569404,0,1.848227216,0,6.172544542,8.743639386,2.312704051,4.322484395,4.39617587,5.785745496,2.695525179,5.315535847
7.736346864,2.890352196,7.034684817,0.343069878,9.341107812,7.468255266,5.765013237,5.647084816,9.192693949,4.644203924,2.847688243,4.732098447,6.060144484,4.644831705,5.58208333,4.932602375,0.715291816,5.494347306,0.377185823,1.182637649,2.250787918,4.627002453,9.571083799,1.747334653,4.020658804,4.452069649,5.894243231,0.953638336,3.767097774
8.981595897,4.738448595,5.466424317,2.432427202,8.807221094,7.252417867,6.678038117,7.529884625,7.425857697,3.152701134,5.094164531,4.221901404,5.666263095,5.423501545,7.233054537,7.482660287,0,5.822456725,2.096123183,1.50559982,0.864919795,6.092498021,8.9257161,1.62170223,3.483585251,6.040318501,4.017931098,0.617604527,3.631707656
9.58869508,5.267547461,6.909210385,1.814015232,8.638314478,7.405951154,6.336306753,7.491862433,7.395441864,4.519063832,4.301456097,4.596651329,6.914161402,2.044187311,4.705262975,7.472663826,0.966287023,6.031060536,1.823394972,0.845253779,1.286911526,6.38334496,8.315760813,3.150266685,4.192904851,3.861799256,6.682874684,1.376441745,5.805715271
8.966724598,5.251630437,4.48689956,2.345252042,9.660738992,7.941705894,6.809431158,8.091074042,4.048159607,5.576948188,5.146275133,4.958617121,4.619723792,3.58861994,6.979662327,7.060288613,0.512712996,4.542600965,0,1.069399284,1.676970541,6.508396279,6.44758135,1.182949641,6.912169695,4.68297591,5.941490754,0,3.985827713
6.434449591,2.761303433,4.803778833,3.535885043,9.979342358,6.880068391,6.316601351,8.598440036,6.650706779,4.630616271,7.427356763,5.647409103,5.274351595,3.485243867,6.672180244,6.659993315,1.440685232,4.633363565,2.202167995,1.827714756,0,6.164784763,6.921619101,1.131993658,5.163489897,6.370230988,4.654821843,0.075734566,3.171011988
7.706170613,5.882614152,6.345914349,1.210471795,8.573562079,6.291743419,7.305536777,5.658820225,6.820049834,6.211126518,6.586375144,3.268285358,3.603364933,3.396846943,8.170753892,6.677203475,2.780931743,4.105189041,2.783149848,1.047631937,1.08691067,4.230144146,5.618020771,2.733584152,3.781004063,2.610160512,5.530875548,1.424799164,4.053214746
8.598000101,4.612774197,7.042414654,0.51654123,8.574730394,7.170313586,4.410354057,7.727434042,5.960458979,4.596695801,4.677541659,3.564325574,6.829811187,3.777386263,7.202400946,8.11639813,0.936689532,3.827550372,0,1.251945227,1.559926834,4.639876864,8.284407087,1.999438022,6.023985093,3.746566761,6.937614522,1.802158249,3.848072618
8.464492924,4.975832274,6.034535131,1.754797234,8.940155303,8.581768256,5.556470671,7.882207504,7.222434431,5.01505229,4.540081191,4.923155167,7.759851477,4.097104904,4.613759544,8.765651243,1.877178817,6.746693065,1.791089502,1.492900336,0.282274403,5.532583331,7.372696249,1.729772013,4.766574133,4.330043305,6.261780302,1.290964309,5.536569679
8.314216115,3.344573986,4.809008349,1.200207707,9.958563164,7.32630225,7.940619619,8.163777797,7.426364174,3.64322075,5.556101996,5.989362039,6.443139948,3.403123148,5.436446204,7.232326206,1.549082958,5.927694064,0,0.854209037,2.343499333,5.720293458,7.869330521,3.86165829,5.640456538,3.80839051,6.534788734,1.220418871,4.132949044
7.690989616,5.264508674,7.934988423,1.608113591,8.50756277,6.213891035,4.859364213,6.447969341,5.796204847,3.061157896,7.054416852,6.173367253,5.602240718,3.20208445,6.627701859,6.586389322,0.38435904,7.039620362,1.765109905,1.233734357,1.631911038,5.54737464,8.55168169,4.9770831,3.777578806,4.626228986,7.954329876,0,4.930777677
8.841955846,5.338470727,4.584999418,3.397157238,7.250629136,6.105301346,7.256900118,6.780050582,6.536379779,5.160602781,5.435177417,5.61576495,5.848996811,1.490993625,6.392319778,5.98674038,0.431945803,5.043181837,1.312531897,3.179874928,1.764259547,6.361409478,8.000342362,2.564275483,5.384715149,4.070594276,6.069286019,1.055878285,4.593190401
